"","LibID","Library","Year","Month","Checkouts_Workflows","Checkouts_Self.Check","Checkouts_Unknown","Checkouts","Checkins","Renewals_Enterprise","Renewals_Workflows","Renewals_Self.Check","Renewals_SVA","Renewals_BookMyne","Renewals_Unknown","Renewals","Holds_Enterprise","Holds_Workflows","Holds_BookMyne","Holds_webcat","Holds","ILL_ALA_INST","ILL_ALA_OUTST","ILL_GROUPLOAN","ILL_ILLINETILL","ILL_NONSWANILL","ILL_OCLC_INST","ILL_OCLC_OUTST","ILL_RB_HOLDS","ILL_SHARE_ILL","ILL_SWAN","ILL_Loans","Patrons_Added","Checkouts_Mobile.Circ","Checkouts_Staff","Checkouts_Web.Services.Staff","Holds_Self.Check","Holds_TOTAL","ILL_ILCSO_ILL","ILL_TOTAL","ILL_UNKNOWN","Renewals_Auto.Renewal","Renewals_Mobile.Circ","Renewals_Staff"
"35","AMS","Alsip-Merrionette Park Public Library District",2016,"February",11535,1508,16,13059,12153,482,1115,36,,11,0,1644,946,444,8,,1398,0,2,0,0,8,0,97,0,3,10,120,70,0,,,0,,,,,,,
"36","AMS","Alsip-Merrionette Park Public Library District",2017,"January",10405,1826,12,12243,,551,910,46,0,31,,1538,1027,707,38,,1772,,,,,,,,,,,,59,0,,,0,,,,,0,,
"37","AMS","Alsip-Merrionette Park Public Library District",2016,"June",11374,2278,7,13696,11300,509,1068,91,0,32,0,1700,980,608,30,,1618,0,0,0,0,5,0,86,0,1,0,92,85,37,,,0,,,,0,,0,
"38","AMS","Alsip-Merrionette Park Public Library District",2016,"January",10741,1811,9,12561,11136,536,871,54,,0,0,1461,968,626,3,,1597,0,1,0,1,22,0,87,0,7,7,125,59,,,,0,,,,,,,
"39","AMS","Alsip-Merrionette Park Public Library District",2016,"November",8943,1781,37,10761,9699,516,838,94,0,30,0,1478,924,535,27,,1486,0,0,0,0,3,75,13,0,2,13,107,50,0,,,0,,,,1,,0,
"40","AMS","Alsip-Merrionette Park Public Library District",2016,"December",8199,1193,414,9806,,479,748,28,,14,7,1276,643,285,30,,958,0,0,0,0,8,69,9,0,2,0,94,33,0,,,0,,,,6,,0,
"41","AMS","Alsip-Merrionette Park Public Library District",2016,"May",9021,1657,14,10698,10484,589,982,56,0,10,0,1637,909,487,27,,1423,0,0,0,0,3,0,69,0,3,0,75,40,6,,,0,,0,,,,0,
"42","AMS","Alsip-Merrionette Park Public Library District",2016,"September",9206,1667,10,10890,,585,861,114,0,36,0,1596,,,,,,,,,,,,,,,,,64,7,,,,,,,,,0,
"43","AMS","Alsip-Merrionette Park Public Library District",2015,"October",11344,1466,10,12820,12072,566,1019,66,,0,0,1651,1002,641,0,,1643,0,1,0,0,7,0,112,0,5,2,127,79,,0,,0,,,,,,,0
"44","AMS","Alsip-Merrionette Park Public Library District",2015,"May",11523,929,3,12455,12257,415,939,15,0,0,0,1369,1046,546,0,0,1592,0,0,0,0,5,0,88,0,0,0,93,98,,,,,,,,,,,
"45","BCS","Beecher Community Library District",2016,"August",2746,0,14,2760,,389,292,0,0,0,0,681,377,220,0,,597,,,,,,,,,,,,18,0,,,0,,,,,,0,
"46","BCS","Beecher Community Library District",2016,"June",2934,0,28,2962,2754,353,281,0,0,0,0,634,372,189,0,,561,0,0,0,0,31,0,59,0,1,10,101,23,0,,,0,,,,0,,0,
"47","BCS","Beecher Community Library District",2016,"September",2047,0,1,2048,,268,245,0,0,0,0,513,,,,,,,,,,,,,,,,,19,0,,,,,,,,,0,
"48","BCS","Beecher Community Library District",2016,"April",2139,0,12,2151,2158,327,348,0,0,0,0,675,356,217,0,,573,0,18,0,0,30,0,0,0,0,63,111,10,0,,,0,,,,,,0,
"49","BCS","Beecher Community Library District",2016,"February",1895,0,4,1899,2088,294,196,0,,0,0,490,381,200,0,,581,0,0,0,0,7,0,0,0,1,7,15,19,0,,,0,,,,,,,
"50","BCS","Beecher Community Library District",2016,"March",2138,0,1,2139,2089,334,336,0,0,0,0,670,466,277,0,,743,0,0,0,0,5,0,0,0,1,62,68,24,0,,,0,,,,,,0,
"51","BCS","Beecher Community Library District",2015,"May",2371,0,1,2372,2243,373,318,0,0,0,0,691,354,291,0,0,645,0,0,0,0,2,0,0,0,0,122,124,19,,,,,,,,,,,
"52","BCS","Beecher Community Library District",2016,"July",3118,0,0,3118,2986,319,287,0,0,0,0,606,422,212,0,,634,,,,,,,,,,,,19,0,,,0,,,,,,0,
"53","BCS","Beecher Community Library District",2016,"January",2024,0,0,2024,1945,247,274,0,,0,0,521,376,240,0,,616,0,0,0,0,2,0,0,0,0,12,14,20,,,,0,,,,,,,
"54","BCS","Beecher Community Library District",2016,"October",1953,0,6,1959,,220,299,0,0,0,,519,412,287,0,,699,,,,,,,,,,,,10,0,,,0,,,,,,0,
"55","BCS","Beecher Community Library District",2016,"May",2134,0,2,2136,2096,345,326,0,0,0,0,671,322,226,0,,548,0,0,0,0,0,0,0,0,0,9,9,17,0,,,0,,0,,,,0,
"56","BCS","Beecher Community Library District",2015,"October",2156,0,0,2156,2091,320,297,0,,0,0,617,318,231,0,,549,0,0,0,0,4,0,0,0,0,12,16,12,,0,,0,,,,,,,0
"57","BCS","Beecher Community Library District",2015,"September",2154,0,0,2154,2019,313,265,0,,0,0,578,326,281,0,,607,0,0,0,0,6,0,0,0,0,35,41,16,,,0,0,,,,,,,0
"58","BCS","Beecher Community Library District",2015,"June",3414,0,0,3414,2913,345,261,0,,0,0,606,312,239,0,,551,0,0,0,0,3,0,0,0,0,28,31,28,,0,,,,,,0,,,
"59","BCS","Beecher Community Library District",2015,"November",2033,0,21,2054,2070,268,247,0,,0,2,517,345,200,0,,545,0,0,0,0,7,0,0,0,0,10,17,16,,,,0,,0,,,,,
"60","BCS","Beecher Community Library District",2015,"August",3314,0,0,3314,2801,249,368,0,0,0,0,617,380,241,0,,621,0,0,0,0,5,0,0,0,1,12,18,19,,,0,0,,,,,,,0
"61","BCS","Beecher Community Library District",2017,"January",2144,0,0,2144,,265,179,0,0,0,,444,430,252,0,,682,,,,,,,,,,,,22,0,,,0,,,,,0,,
"62","BCS","Beecher Community Library District",2015,"December",1664,0,0,1664,1934,256,364,0,,0,0,620,251,142,0,,393,0,0,0,0,5,0,0,0,0,0,5,9,,,,0,,0,,,,,
"63","BCS","Beecher Community Library District",2016,"December",1767,0,29,1796,,377,272,0,,0,1,650,217,138,0,,355,0,0,0,0,3,0,0,0,0,0,3,4,0,,,0,,,,0,,0,
"64","BCS","Beecher Community Library District",2016,"November",2092,0,2,2094,2037,420,283,0,0,0,0,703,315,236,0,,551,0,0,0,0,1,0,0,0,0,0,1,12,0,,,0,,,,0,,0,
"65","BCS","Beecher Community Library District",2015,"July",2931,0,10,2941,3227,350,349,0,,0,0,699,351,285,0,,636,0,0,0,0,3,0,0,0,0,10,13,22,,0,,,,,,,,,0
